Indicator,Disaggregations,Number of disaggregations
#1-2-1,"CA, ODS, Indicador, Descripción",4
#1-2-2,"CA, ODS, Indicador, Descripción",4
#10-1-1,"CA, ODS, Indicador, Descripción",4
#10-2-1,"CA, ODS, Indicador, Descripción",4
#10-4-1,"CA, ODS, Indicador, Descripción",4
#11-1-1,"CA, ODS, Indicador",3
#13-2-1,"CA, ODS, Indicador, Descripción",4
#16-1-4,"CA, ODS, Indicador, Descripción",4
#17-1-1,"CA, ODS, Indicador",3
#2-1-1,"CA, ODS, Indicador, Descripción",4
#2-2-2,"CA, ODS, Indicador, Descripción",4
#2-4-1,"CA, ODS, Indicador",3
#3-1-2,"CA, ODS, Indicador, Descripción",4
#3-8-1,"CA, ODS, Indicador",3
#3-a-1,"CA, ODS, Indicador, Descripción",4
#3-c-1,"CA, ODS, Indicador, Descripción",4
#4-3-1,"CA, ODS, Indicador, Descripción",4
#4-5-1,"CA, ODS, Indicador, Descripción",4
#5-4-1,"CA, ODS, Indicador, Descripción",4
#5-a-1,"CA, ODS, Indicador, Descripción",4
#8-1-1,"CA, ODS, Indicador",3
#8-2-1,"CA, ODS, Indicador, Descripción",4
#8-5-1,"CA, ODS, Indicador, Descripción",4
#8-9-1,"CA, ODS, Indicador, Descripción",4
#9-2-1,"CA, ODS, Indicador, Descripción",4
#9-2-2,"CA, ODS, Indicador, Descripción",4
#9-4-1,"CA, ODS, Indicador, Descripción",4
#9-5-1,"CA, ODS, Indicador, Descripción",4
